order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD136791,ID6167279408,2019-10-17,Nickolson,"[('iStream', 1), ('Alcon 10', 2), ('Olivia x460', 1)]",19275,90.18,-37.8104104,144.9611582,5,18401.43,Spring,True,1.1725,"has a damaged battery, causing frequent shutdowns. the phone delivered had a very much used battery. pear battery health is showing 84% capacity, which is severely low. this has prompted pear to disable peak performance. as a customer, i am dissatisfied that the refurbished phone didn’t have a battery in good health.",True
ORD038288,ID1449266832,2019-05-08,Bakers,"[('pearTV', 1), ('Olivia x460', 1), ('Lucent 330S', 1), ('Candle Inferno', 2)]",9625,64.98,-37.8166388,144.98391940000005,10,8727.48,Autumn,True,1.2396,good good,True
ORD285285,ID0591321033,2019-10-12,Nickolson,"[('pearTV', 1), ('Candle Inferno', 1)]",6740,105.75,-37.8252784,144.95699219999997,0,6845.75,Spring,True,1.3315,one plus software beautiful phone at a very good price,True
ORD457243,ID0746341037,2019-06-06,Bakers,"[('pearTV', 1), ('Toshika 750', 2), ('Olivia x460', 2)]",17400,63.41,-37.8032806,144.9970679,0,17463.41,Winter,False,0.7648,four stars love the phone but the charger that came with it did not work.,True
ORD333697,ID5001030280,2019-02-16,Thompson,"[('Toshika 750', 2), ('pearTV', 2), ('iAssist Line', 2)]",25710,88.75,-37.8115349,144.95209680000005,25,19371.25,Summer,True,0.46,None,True
ORD497404,ID5922126211,2019-09-22,Nickolson,"[('Universe Note', 2), ('iAssist Line', 2), ('Lucent 330S', 2)]",13810,95.92,-37.8187089,144.9705069,5,3544.3,Spring,True,0.085,good seller. everything ok! good seller...,True
ORD103455,ID0746924716,2019-02-04,Nickolson,"[('Universe Note', 1), ('Candle Inferno', 1), ('Thunder line', 2), ('Lucent 330S', 1)]",9470,98.53,-37.824258,144.9850357,10,8621.53,autumn,True,1.5005,good condition i bought 2 used cellphones and i received them both is good condition...thanks!!!,True
ORD154880,ID0373657260,2019-05-29,Thompson,"[('Alcon 10', 1), ('Toshika 750', 1), ('iAssist Line', 2)]",17720,53.33,-37.8113609,144.9300852,10,16001.33,Autumn,False,1.5007,"works well. but does not offer access to the pear or android app store. without the apps that i need, this tablet is not as useful.",False
ORD040663,ID2269259849,2019-05-08,Nickolson,"[('Lucent 330S', 1), ('Toshika 750', 2), ('iStream', 1)]",10020,52.17,-37.8236801,144.9563466,25,7567.17,Autumn,False,1.2917,"the camera does not work,,, the battery ... the camera does not work ,,,the battery does not hold a charge....if i had know it was from the dealer dealscay. i would never have bought it,,,this is the second phone i have gotten ripped off from this dealer",False
ORD166389,ID0611991915,2019-09-04,Thompson,"[('Toshika 750', 2), ('Universe Note', 1), ('pearTV', 2), ('Olivia x460', 2)]",22480,88.32,-37.802901,144.95502130000003,15,23174.32,Spring,True,1.2933,beware well in 3 days after the no return window has closed the fast charge is no longer working.,False
ORD298698,ID6207106381,2019-05-22,Bakers,"[('iStream', 1), ('Lucent 330S', 2), ('iAssist Line', 1), ('Universe Note', 1)]",8285,64.24,-37.8124253,144.9987884,0,8349.24,Autumn,True,0.4135,bigger than big. see what i did there? bigger is better. got in this instead of the 4 due to the price. only gripe is i'm not confident the silver around the phone will last. still awesome.,True
ORD003471,ID0589421424,2019-03-21,Nickolson,"[('iAssist Line', 1), ('pearTV', 2)]",14845,65.68,-37.8095839,144.9724437,5,14168.43,Autumn,False,1.0348,great exactly what i was looking for,True
ORD488714,ID0250480649,2019-05-28,Bakers,"[('Candle Inferno', 2), ('Olivia x460', 1), ('Lucent 330S', 2), ('pearTV', 1)]",10855,79.84,-37.8109632,145.00472119999995,0,10934.84,winter,True,0.8414,very nice phone best purchase ever. i bought it from surgetelecom and it is brand new unlocked. i love this phone. and it has great features.,True
