order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD301034,ID0579980028,2019-04-27,Thompson,"[('Candle Inferno', 2), ('Universe Note', 2), ('Toshika 750', 1)]",12080.0,64.08,-37.8079244,144.9425776,10,10936.08,Autumn,False,0.6599,"olivia universe s5 great phone, great condition",1.0
ORD426641,ID6167266647,2019-02-10,Nickolson,"[('Olivia x460', 1), ('Candle Inferno', 1), ('pearTV', 2), ('Lucent 330S', 1)]",15505.0,76.44,-37.80955220000001,144.9645624,5,14806.19,Summer,False,1.0981,"official product got the phone and it is all good, the only ""problem"" is that the charger has other layout, so if you want to use it, you will need to buy a converter to use it here in america",1.0
ORD178169,ID0845657621,2019-09-04,,"[('pearTV', 2), ('iStream', 2), ('Alcon 10', 1)]",21870.0,71.0,-37.8179339,144.9676506,0,21941.0,Spring,False,0.1826,"the best budget version huaweii i’ve had the best budget version huaweii i’ve had, camera clarity is crips and features are plentiful. battery and fast charging are a great addition",1.0
ORD487277,ID2318307716,2019-08-13,Nickolson,"[('Alcon 10', 1), ('Lucent 330S', 2)]",11410.0,76.59,-37.81083020000001,144.97583630000003,15,9775.09,Winter,True,1.026,"happy with the purchase, found it on sale could not pass it up!",1.0
ORD168321,ID0298045607,2019-02-26,Nickolson,"[('Alcon 10', 1), ('Toshika 750', 2), ('Lucent 330S', 1), ('pearTV', 1)]",25130.0,91.85,-37.8241828,144.9632211,0,25221.85,Summer,True,0.8347,five stars everything worked like it said.,1.0
ORD019666,ID0418539889,2019-02-26,Bakers,"[('pearTV', 2), ('Toshika 750', 1), ('Lucent 330S', 2)]",19400.0,82.64,-37.8214115,144.9892355,10,17542.64,Summer,True,1.3758,"90 warranty is cheap, phone broke fast digitizer went out, wouldn't take it back, due to scratch, was totally under 90days too",0.0
ORD393490,ID0746912861,2019-02-16,Nickolson,"[('iStream', 1), ('Candle Inferno', 2)]",1010.0,80.14,-37.8247274,144.98488989999996,5,1039.64,Summer,False,1.5117,four stars good price for the phone.,1.0
ORD014794,ID0588197262,2019-05-09,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('Olivia x460', 1)]",10295.0,64.85,-37.8121189,144.97387719999998,0,10359.85,Autumn,False,0.8151,five stars very good!,1.0
ORD302056,ID2397324991,2019-09-21,,"[('pearTV', 2), ('Candle Inferno', 2), ('Alcon 10', 2)]",31380.0,76.78,-37.8197896,144.9425883,0,31456.78,Spring,False,,five stars works great. perfect as expected.,1.0
ORD262284,ID0767730096,2019-05-17,Nickolson,"[('pearTV', 1), ('Universe Note', 1), ('Alcon 10', 2)]",27660.0,66.14,-37.8049643,144.970646,25,20811.14,Autumn,False,1.5204,update on the low price tech.... ... update on the low price tech ....... do not hesitate order it ......... you will be thrilled with this purchase,1.0
ORD264662,ID4419701257,2019-03-10,Thompson,"[('Olivia x460', 1), ('pearTV', 1)]",7535.0,84.12,-37.80245120000001,144.9637885,10,6865.62,Autumn,True,1.8593,guaranteed purchase. best purchase i’ve made it was reallly affordable & came boxed up in great condition.,1.0
ORD462153,ID0052600095,2019-07-06,Thompson,"[('Toshika 750', 1), ('iAssist Line', 2), ('Candle Inferno', 2), ('iStream', 1)]",,79.04,-37.8026916,144.95606,15,,Winter,True,1.3638,"a true successor to the nexus line. i had a nexus 3, then a 5x for the past few years. this phone has been a great replacement for the 5x which eventually bricked. very happy with it after a few months of use. good battery life, tons of awesome features thanks to android 8.0!",1.0
ORD102904,ID0060653707,2019-01-01,Thompson,"[('iAssist Line', 2), ('Alcon 10', 1), ('pearTV', 2)]",26020.0,77.69,-37.8178344,144.95050590000002,25,19592.69,Summer,True,0.6492,"no es un factory unlock diseño hermoso, pero no es international version, es un att phone, no trabaja con todas las bandas",0.0
ORD199859,ID0781109157,2019-05-08,Bakers,"[('iAssist Line', 2), ('Alcon 10', 2), ('Olivia x460', 2)]",24800.0,67.51,-37.8144241,145.0150012,25,18667.51,Autumn,False,1.8071,"four stars the battery's life is short, but after that all of function is okay.",1.0
ORD043163,ID4716795584,2019-05-22,Thompson,"[('Universe Note', 2), ('Toshika 750', 1)]",11220.0,64.93,-37.8188479,144.9532874,25,8479.93,Autumn,False,0.8783,"love it this phone is much better than the last 2 i have tried, i love it",
ORD412049,ID0356127457,2019-11-07,Bakers,"[('Alcon 10', 1), ('Toshika 750', 1)]",13270.0,87.71,-37.8173966,144.988347,10,12030.71,Spring,True,1.0224,to change the phone from one network to others hard to change from 2g-3g-4g,0.0
ORD269875,ID0746912534,2019-08-30,Nickolson,"[('iStream', 2), ('pearTV', 2)]",12920.0,81.71,-37.825771,144.9828691,5,12355.71,Winter,True,1.4176,love my 'new' phone! thank you!! broke my old phone and needed a replacement in a hurry. lightning fast shipping! problem solved. awesome service and awesome phone. no one can believe the price i paid. highly recommend this seller:),1.0
ORD421844,ID0579512336,2019-11-16,Thompson,"[('pearTV', 1), ('Thunder line', 2), ('Candle Inferno', 2)]",11530.0,56.37,-37.8140547,144.9481931,15,9856.87,Spring,False,0.1828,doesn't work with att 4g. no band 71 as previously stated. this phone will absolutely not work on att 4g.,0.0
ORD363848,ID0847529551,2019-03-26,Nickolson,"[('Candle Inferno', 2), ('Lucent 330S', 2)]",3320.0,63.75,-37.8236376,144.9673758,5,3217.75,Autumn,True,0.593,two stars poor gps - almost not functional - and poor battery - i need to recharge every 8 hours,0.0
