order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD126463,ID6167441077,2019-10-23,Nickolson,"[('Olivia x460', 1), ('iStream', 1)]",1375,73.98,-37.8159759,144.96526409999996,10,1311.48,Spring,False,0.4766,"great stuff great stuff, the device very smooth no scratches at all👍",True
ORD026358,ID2189398730,2019-02-13,Nickolson,"[('Toshika 750', 1), ('Alcon 10', 2)]",22220,75.12,-37.81074260000001,144.97536609999997,5,21184.12,Summer,False,1.0127,excellent value extreem battery life,True
ORD283910,ID0227330374,2019-02-15,Bakers,"[('Thunder line', 1), ('Olivia x460', 1), ('Universe Note', 2)]",10305,90.37,-37.80280850000001,144.9949291,10,9364.87,Summer,True,0.8005,battery life is great. i liked the price. fast delivery.,True
ORD177013,ID1479905376,2019-07-14,Nickolson,"[('Lucent 330S', 1), ('iStream', 1)]",1380,64.33,-37.8205229,144.95725080000003,5,1375.33,Winter,True,1.1027,problmas con la bateria dura muy poco y el auricular hace ruido a metal estimados . quisiera consultar si el servicio de reacondiconado tiene garantia o no,False
ORD154348,ID2810326446,2019-09-28,Nickolson,"[('Thunder line', 1), ('Toshika 750', 2), ('Universe Note', 2), ('Alcon 10', 1)]",26670,82.78,-37.8069271,144.975644,10,24085.78,Spring,False,1.405,"five stars fits my needs to a t - nice styled, easy to use smart phone",True
ORD346191,ID2960404462,2019-12-03,Nickolson,"[('Thunder line', 2), ('Olivia x460', 1), ('Lucent 330S', 1)]",6815,68.07,-37.81851870000001,144.9653177,15,5860.82,Summer,False,0.3724,"five stars good quality phone, stands up to daily use.",True
ORD289608,ID2978793339,2019-02-07,Bakers,"[('Lucent 330S', 2), ('Alcon 10', 1), ('Thunder line', 1), ('Olivia x460', 2)]",16040,98.63,-37.8115789,145.0113915,0,16138.63,Summer,True,1.432,"love our inferno stick,easy to set up and have loads of shows for free and plenty to rent or buy.we also use pluto tv and tubi so that's even more tv.iassist makes it so easy to find any show or movie i want.we love the money we save.",True
ORD097435,ID0577458190,2019-09-06,Nickolson,"[('Toshika 750', 2), ('iStream', 1), ('Candle Inferno', 2), ('iAssist Line', 2)]",14100,75.45,-37.8184788,144.9778126,0,14175.45,Spring,False,0.7266,it's a great buy. just to read emails and go on the web,True
ORD367226,ID0373650775,2019-12-20,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('pearTV', 1)]",14990,69.46,-37.8087463,144.92591409999997,10,13560.46,Summer,False,1.9111,phone doesnt work without a charger the phone turns on and dies after about 20 minutes without the charger.,False
ORD153888,ID6195295690,2019-09-27,Bakers,"[('Toshika 750', 2), ('Thunder line', 1), ('Candle Inferno', 1), ('Lucent 330S', 2)]",13710,110.76,-37.8245778,145.01118490000005,25,10393.26,Spring,True,2.1454,"my mother needed a cheap phone we could have unlocked ... my mother needed a cheap phone we could have unlocked and she could take overseas, this fit the bill perfectly.",True
ORD355444,ID4716795809,2019-06-21,Thompson,"[('Lucent 330S', 2), ('Candle Inferno', 2)]",3320,78.08,-37.8191695,144.952764,0,3398.08,Winter,True,0.8796,good purchase!! battery life is not was i expected it to be. only lasts 18-20 hrs/it does charge fast,True
ORD274189,ID0635681778,2019-11-07,Thompson,"[('iAssist Line', 2), ('pearTV', 2), ('Universe Note', 2)]",23970,87.36,-37.8130783,144.955614,0,24057.36,Spring,True,0.7528,"locked phone :( locked phone not new did not find out until i got home to my husband now, passed return date. he did not not know :(",False
ORD493678,ID1404216313,2019-11-11,Bakers,"[('Toshika 750', 2), ('Lucent 330S', 2), ('Alcon 10', 1), ('Universe Note', 2)]",26950,78.57,-37.8012467,144.9900561,5,25681.07,Spring,False,1.0751,five stars very good phone. just what i needed.,True
